selector,candidate,count,total_selections,rate
selected_task,vanilla_univariate,39,90,0.43333333333333335
selected_task,vanilla_multivariate,31,90,0.34444444444444444
selected_task,self_augmentation,9,90,0.1
selected_task,top_k_1,4,90,0.044444444444444446
selected_task,top_k_5,2,90,0.022222222222222223
selected_task,top_k_10,0,90,0.0
selected_task,top_k_15,1,90,0.011111111111111112
selected_task,top_k_20,4,90,0.044444444444444446
selected_per_variate,vanilla_univariate,1995,3882,0.5139103554868625
selected_per_variate,vanilla_multivariate,867,3882,0.223338485316847
selected_per_variate,self_augmentation,441,3882,0.11360123647604328
selected_per_variate,top_k_1,172,3882,0.0443070582174137
selected_per_variate,top_k_5,170,3882,0.04379185986604843
selected_per_variate,top_k_10,106,3882,0.02730551262235961
selected_per_variate,top_k_15,68,3882,0.01751674394641937
selected_per_variate,top_k_20,63,3882,0.01622874806800618
scope_selector,vanilla_univariate,56,90,0.6222222222222222
scope_selector,vanilla_multivariate,34,90,0.37777777777777777
scope_selector,self_augmentation,0,90,0.0
scope_selector,top_k_1,0,90,0.0
scope_selector,top_k_5,0,90,0.0
scope_selector,top_k_10,0,90,0.0
scope_selector,top_k_15,0,90,0.0
scope_selector,top_k_20,0,90,0.0
