dataset,term,method,report_label,inference_seconds,query_retrieval_seconds,datastore_preprocessing_seconds,timing_policy,fallback_count,alternative,alternative_weight,grid_rows,fallback_rate,MSE_mean,MSE_variance,MSE_std,MSE_dispersion_ddof,MSE_finite_values,MSE_evaluation_values,MSE_total_values,MAE_mean,MAE_variance,MAE_std,MAE_dispersion_ddof,MAE_finite_values,MAE_evaluation_values,MAE_total_values,RMSE_mean,RMSE_variance,RMSE_std,RMSE_dispersion_ddof,RMSE_finite_values,RMSE_evaluation_values,RMSE_total_values,MAPE_mean,MAPE_variance,MAPE_std,MAPE_dispersion_ddof,MAPE_finite_values,MAPE_evaluation_values,MAPE_total_values,sMAPE_mean,sMAPE_variance,sMAPE_std,sMAPE_dispersion_ddof,sMAPE_finite_values,sMAPE_evaluation_values,sMAPE_total_values,MASE_mean,MASE_variance,MASE_std,MASE_dispersion_ddof,MASE_finite_values,MASE_evaluation_values,MASE_total_values,ND_mean,ND_variance,ND_std,ND_dispersion_ddof,ND_finite_values,ND_evaluation_values,ND_total_values,CRPS_mean,CRPS_variance,CRPS_std,CRPS_dispersion_ddof,CRPS_finite_values,CRPS_evaluation_values,CRPS_total_values,seasonal_MASE_mean,seasonal_MASE_variance,scaled_MASE_mean,scaled_MASE_std,scaled_MASE_variance,MASE_variance_ratio_to_seasonal
Water_Quality_Darwin/15T,short,vanilla_univariate,vanilla_univariate,17.138368386076763,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.043003773381203,248.19314565155312,15.754146935062943,0.0,3780.0,3780.0,3780.0,0.4198844377046988,1.3050120342954117,1.1423712331354514,0.0,3780.0,3780.0,3780.0,0.5028248445375615,1.79017094909698,1.3379727011777856,0.0,3780.0,3780.0,3780.0,0.0526729952346271,0.013987619557392974,0.11826926717196219,0.0,3780.0,3780.0,3780.0,0.0497206666135044,0.008401816979903751,0.09166142580117195,0.0,3780.0,3780.0,3780.0,0.6095422683374909,0.5754183740405062,0.7585633619154739,0.0,3780.0,3780.0,3780.0,0.050587885442001594,0.00972431935534646,0.09861196355081091,0.0,3780.0,3780.0,3780.0,0.050587885442001594,0.00972431935534646,0.09861196355081091,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.560673382668723,0.6977469950586335,0.4868508691133527,0.4300104760836994
Water_Quality_Darwin/15T,short,vanilla_multivariate,vanilla_multivariate,18.717638047412038,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.0380336788241458,260.7681777541303,16.14831810914469,0.0,3780.0,3780.0,3780.0,0.4175622038596492,1.314582380879772,1.1465523890689742,0.0,3780.0,3780.0,3780.0,0.4994945279219773,1.7885388954001469,1.3373626641267307,0.0,3780.0,3780.0,3780.0,0.05217961085267132,0.012357671461746688,0.11116506403428501,0.0,3780.0,3780.0,3780.0,0.049300366544035294,0.00811831551105789,0.09010169538392654,0.0,3780.0,3780.0,3780.0,0.6094824398393609,0.5858826419691493,0.7654297106652899,0.0,3780.0,3780.0,3780.0,0.050341828501537206,0.009460392582081253,0.09726454946218202,0.0,3780.0,3780.0,3780.0,0.050341828501537206,0.009460392582081253,0.09726454946218202,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5606183508060139,0.7040628474287122,0.49570449312942594,0.4378304294200286
Water_Quality_Darwin/15T,short,self_augmentation,self_augmentation,52.87988859787583,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.1283788190793365,284.0029279389259,16.852386416734156,0.0,3780.0,3780.0,3780.0,0.42522461543606144,1.3756265871772386,1.1728710871946835,0.0,3780.0,3780.0,3780.0,0.5088485439951534,1.8694519783533488,1.3672790418759986,0.0,3780.0,3780.0,3780.0,0.05360636399885482,0.013284262238416058,0.11525737390039761,0.0,3780.0,3780.0,3780.0,0.05081372942008459,0.00865184530567374,0.09301529608442764,0.0,3780.0,3780.0,3780.0,0.6174598858797139,0.6063975495337879,0.7787153199557512,0.0,3780.0,3780.0,3780.0,0.051660519444597736,0.00986783402482072,0.09933697209408349,0.0,3780.0,3780.0,3780.0,0.051660519444597736,0.00986783402482072,0.09933697209408349,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5679562203662352,0.7162833084018528,0.5130617778951038,0.4531612314358543
Water_Quality_Darwin/15T,short,top_k_1,top_k_1,35.478422448039055,54.20661992114037,4.848068556981161,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.055177543758843,262.5376247863656,16.203012830531414,0.0,3780.0,3780.0,3780.0,0.4171806551201079,1.3165770997985824,1.1474219362547424,0.0,3780.0,3780.0,3780.0,0.5001024316404042,1.8050751016261972,1.3435308338948524,0.0,3780.0,3780.0,3780.0,0.051857888007276115,0.012984326369414616,0.11394878836308273,0.0,3780.0,3780.0,3780.0,0.04885574250488784,0.008158468504247129,0.09032424095583161,0.0,3780.0,3780.0,3780.0,0.5956297845405512,0.5619835699413906,0.7496556342357407,0.0,3780.0,3780.0,3780.0,0.04985416320149521,0.009508642364325718,0.09751226776321899,0.0,3780.0,3780.0,3780.0,0.04985416320149521,0.009508642364325718,0.09751226776321899,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5478763056538193,0.6895534274103886,0.47548392925341415,0.41997063938855544
Water_Quality_Darwin/15T,short,top_k_5,top_k_5,123.32914279401302,54.20661992114037,4.848068556981161,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.0544679438639353,246.4247498189525,15.69792183121551,0.0,3780.0,3780.0,3780.0,0.41859419976236506,1.3195387296536085,1.1487117696156894,0.0,3780.0,3780.0,3780.0,0.5005729024174803,1.803894713229275,1.3430914761211445,0.0,3780.0,3780.0,3780.0,0.05144178154585934,0.012545501127979633,0.1120067012637174,0.0,3780.0,3780.0,3780.0,0.04819526142224531,0.0078070191616375455,0.08835733790488227,0.0,3780.0,3780.0,3780.0,0.596838286404782,0.56354918037541,0.7506991277305509,0.0,3780.0,3780.0,3780.0,0.04930676582252455,0.009301474646383232,0.09644415299220183,0.0,3780.0,3780.0,3780.0,0.04930676582252455,0.009301474646383232,0.09644415299220183,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5489879181922374,0.6905132608098407,0.47680856335423905,0.4211406209506091
Water_Quality_Darwin/15T,short,top_k_10,top_k_10,241.48378723859787,54.20661992114037,4.848068556981161,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.0549917312264605,225.90107602733747,15.030005855865042,0.0,3780.0,3780.0,3780.0,0.42269196722991687,1.314722635735235,1.1466135511737314,0.0,3780.0,3780.0,3780.0,0.5042255128749035,1.8007483633925012,1.3419196560869437,0.0,3780.0,3780.0,3780.0,0.05176949275320261,0.01268836578740943,0.11264264639739884,0.0,3780.0,3780.0,3780.0,0.04830819324425959,0.007829037267047603,0.08848184710463274,0.0,3780.0,3780.0,3780.0,0.6027559594872117,0.5688464253500397,0.7542190831250822,0.0,3780.0,3780.0,3780.0,0.049530538542602705,0.009408531163379176,0.0969975832862818,0.0,3780.0,3780.0,3780.0,0.049530538542602705,0.009408531163379176,0.0969975832862818,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.554431153152305,0.693751010512216,0.4812904645867208,0.4250992551135706
Water_Quality_Darwin/15T,short,top_k_15,top_k_15,358.42783161252737,54.20661992114037,4.848068556981161,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.063965839560286,232.21590444817218,15.238631974300455,0.0,3780.0,3780.0,3780.0,0.4231611997133044,1.3222497036221468,1.1498911703383703,0.0,3780.0,3780.0,3780.0,0.5049312643825818,1.8090102578092924,1.344994519620542,0.0,3780.0,3780.0,3780.0,0.05216267263883679,0.013070629508428801,0.11432685383770867,0.0,3780.0,3780.0,3780.0,0.04852036950058581,0.00789061630978208,0.08882914110685794,0.0,3780.0,3780.0,3780.0,0.6039989449973132,0.5717010508962787,0.7561091527658416,0.0,3780.0,3780.0,3780.0,0.04981901537408662,0.009521053374775705,0.09757588521133541,0.0,3780.0,3780.0,3780.0,0.04981901537408662,0.009521053374775705,0.09757588521133541,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5555744846762328,0.695489547434117,0.4837057105901127,0.4272325183973956
Water_Quality_Darwin/15T,short,top_k_20,top_k_20,476.94183437153697,54.20661992114037,4.848068556981161,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.0566717618244827,228.62345273790353,15.120299360062404,0.0,3780.0,3780.0,3780.0,0.4228186511459454,1.3162310240981632,1.147271120571839,0.0,3780.0,3780.0,3780.0,0.5050270945490186,1.8016193955958597,1.3422441639269138,0.0,3780.0,3780.0,3780.0,0.052420710721292674,0.013289855647075272,0.11528163620922142,0.0,3780.0,3780.0,3780.0,0.04863120016066818,0.007910347239578884,0.08894013289611662,0.0,3780.0,3780.0,3780.0,0.6072989187347173,0.5870156063169941,0.7661694370809854,0.0,3780.0,3780.0,3780.0,0.05001550339839558,0.009603691503334467,0.09799842602478097,0.0,3780.0,3780.0,3780.0,0.05001550339839558,0.009603691503334467,0.09799842602478097,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5586098893301459,0.7047432676936901,0.49666307335958015,0.4386770943174
Water_Quality_Darwin/15T,short,selected_task,selected_task,,,,assembled_from_candidate_artifacts_no_independent_selected_method_latency,0.0,,,3780.0,0.0,2.0380336788241458,260.7681777541303,16.14831810914469,0.0,3780.0,3780.0,3780.0,0.4175622038596492,1.314582380879772,1.1465523890689742,0.0,3780.0,3780.0,3780.0,0.4994945279219773,1.7885388954001469,1.3373626641267307,0.0,3780.0,3780.0,3780.0,0.05217961085267132,0.012357671461746688,0.11116506403428501,0.0,3780.0,3780.0,3780.0,0.049300366544035294,0.00811831551105789,0.09010169538392654,0.0,3780.0,3780.0,3780.0,0.6094824398393609,0.5858826419691493,0.7654297106652899,0.0,3780.0,3780.0,3780.0,0.050341828501537206,0.009460392582081253,0.09726454946218202,0.0,3780.0,3780.0,3780.0,0.050341828501537206,0.009460392582081253,0.09726454946218202,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5606183508060139,0.7040628474287122,0.49570449312942594,0.4378304294200286
Water_Quality_Darwin/15T,short,selected_per_variate,selected_per_variate,,,,assembled_from_candidate_artifacts_no_independent_selected_method_latency,0.0,,,3780.0,0.0,2.080747711799647,259.6544630951012,16.113797289748348,0.0,3780.0,3780.0,3780.0,0.4202543795930395,1.3370227056308683,1.1562969798589238,0.0,3780.0,3780.0,3780.0,0.5029521057175668,1.8277868911539121,1.3519566898217976,0.0,3780.0,3780.0,3780.0,0.0516772436696491,0.01208315385593045,0.10992339994710158,0.0,3780.0,3780.0,3780.0,0.04909879036739982,0.008099467660120731,0.08999704250763317,0.0,3780.0,3780.0,3780.0,0.6102978012187417,0.5958635356814896,0.7719219751253942,0.0,3780.0,3780.0,3780.0,0.04989361991910758,0.00923910402926514,0.09612025816270543,0.0,3780.0,3780.0,3780.0,0.04989361991910758,0.00923910402926514,0.09612025816270543,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.5613683421461086,0.710034607001604,0.5041491431399222,0.44528915693136484
