dataset,term,method,report_label,inference_seconds,query_retrieval_seconds,datastore_preprocessing_seconds,timing_policy,fallback_count,alternative,alternative_weight,grid_rows,fallback_rate,MSE_mean,MSE_variance,MSE_std,MSE_dispersion_ddof,MSE_finite_values,MSE_evaluation_values,MSE_total_values,MAE_mean,MAE_variance,MAE_std,MAE_dispersion_ddof,MAE_finite_values,MAE_evaluation_values,MAE_total_values,RMSE_mean,RMSE_variance,RMSE_std,RMSE_dispersion_ddof,RMSE_finite_values,RMSE_evaluation_values,RMSE_total_values,MAPE_mean,MAPE_variance,MAPE_std,MAPE_dispersion_ddof,MAPE_finite_values,MAPE_evaluation_values,MAPE_total_values,sMAPE_mean,sMAPE_variance,sMAPE_std,sMAPE_dispersion_ddof,sMAPE_finite_values,sMAPE_evaluation_values,sMAPE_total_values,MASE_mean,MASE_variance,MASE_std,MASE_dispersion_ddof,MASE_finite_values,MASE_evaluation_values,MASE_total_values,ND_mean,ND_variance,ND_std,ND_dispersion_ddof,ND_finite_values,ND_evaluation_values,ND_total_values,CRPS_mean,CRPS_variance,CRPS_std,CRPS_dispersion_ddof,CRPS_finite_values,CRPS_evaluation_values,CRPS_total_values,seasonal_MASE_mean,seasonal_MASE_variance,scaled_MASE_mean,scaled_MASE_std,scaled_MASE_variance,MASE_variance_ratio_to_seasonal
Water_Quality_Darwin/15T,short,vanilla_univariate,vanilla_univariate,4.817112822085619,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,3780.0,0.0,2.48605301458497,296.6890804620419,17.224664886784936,0.0,3780.0,3780.0,3780.0,0.4787444428658472,1.6018863683608715,1.2656564969852095,0.0,3780.0,3780.0,3780.0,0.5675718864313799,2.1639151683176947,1.4710252099531451,0.0,3780.0,3780.0,3780.0,0.060436745134990456,0.015061945729579918,0.1227271189655323,0.0,3780.0,3780.0,3780.0,0.05742912408968257,0.010724405364757519,0.10355870492024086,0.0,3780.0,3780.0,3780.0,0.6716427228108365,0.713415739303938,0.8446394137760432,0.0,3780.0,3780.0,3780.0,0.05833080143492809,0.011970199691223897,0.10940840777208988,0.0,3780.0,3780.0,3780.0,0.05833080143492809,0.011970199691223897,0.10940840777208988,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.6177950519662452,0.7769220640740491,0.6036078936450808,0.5331359851260075
Water_Quality_Darwin/15T,short,top1-horizon-mix,top1-horizon-mix,,,,assembled_from_candidate_artifacts_no_independent_selected_method_latency,0.0,top1_horizon,0.2227751756440281,3780.0,0.0,2.645855670563879,349.5648514870331,18.696653483632655,0.0,3780.0,3780.0,3780.0,0.49101215066055465,1.7530690128456632,1.324035125231073,0.0,3780.0,3780.0,3780.0,0.5770175145734368,2.3129064584393726,1.520824269414245,0.0,3780.0,3780.0,3780.0,0.06105586924621125,0.016024512143092636,0.1265879620781243,0.0,3780.0,3780.0,3780.0,0.05736008585022959,0.010932757288587008,0.10455982636073478,0.0,3780.0,3780.0,3780.0,0.6794242370500546,0.6935408463520243,0.8327909980013138,0.0,3780.0,3780.0,3780.0,0.05852105856105081,0.01249764930813563,0.11179288576709892,0.0,3780.0,3780.0,3780.0,0.05852105856105081,0.01249764930813563,0.11179288576709892,0.0,3780.0,3780.0,3780.0,1.0871610587899843,1.3381496638898256,0.6249526981827855,0.7660235723750208,0.5867921134341888,0.518283466391937
Water_Quality_Darwin/15T,medium,vanilla_univariate,vanilla_univariate,5.856245515868068,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,630.0,0.0,3.7326111402683675,297.8910729403874,17.25952122569996,0.0,630.0,630.0,630.0,0.6411112742956167,1.9052870777954456,1.380321367579103,0.0,630.0,630.0,630.0,0.8156034324246739,3.067402181285458,1.7514000631738764,0.0,630.0,630.0,630.0,0.082025363370173,0.02157639464376244,0.14688905556154427,0.0,630.0,630.0,630.0,0.07488747820274688,0.014293957705983426,0.11955734066122174,0.0,630.0,630.0,630.0,0.9366178700006613,0.7119858910042999,0.8437925639659903,0.0,630.0,630.0,630.0,0.07504074476218647,0.015047329487757855,0.12266755678563854,0.0,630.0,630.0,630.0,0.07504074476218647,0.015047329487757855,0.12266755678563854,0.0,630.0,630.0,630.0,1.0892248555624096,0.8662032158339698,0.8598939559794095,0.774672520239457,0.6001175136141519,0.8219617267511627
Water_Quality_Darwin/15T,medium,top1-horizon-mix,top1-horizon-mix,,,,assembled_from_candidate_artifacts_no_independent_selected_method_latency,0.0,top1_horizon,0.22626582278481014,630.0,0.0,3.6728832106126093,314.36013441152693,17.730204014943734,0.0,630.0,630.0,630.0,0.6314816680125986,1.86278297252322,1.3648380755691203,0.0,630.0,630.0,630.0,0.8031793353014601,3.0277861659573144,1.7400534951424091,0.0,630.0,630.0,630.0,0.07995061321831375,0.020968745888638174,0.1448058903796326,0.0,630.0,630.0,630.0,0.07250660545364837,0.013764836728814461,0.117323640962998,0.0,630.0,630.0,630.0,0.9243522946866504,0.7086423208935217,0.8418089574799746,0.0,630.0,630.0,630.0,0.07265389778895676,0.014544762523362275,0.12060166882494734,0.0,630.0,630.0,630.0,0.07265389778895676,0.014544762523362275,0.12060166882494734,0.0,630.0,630.0,630.0,1.0892248555624096,0.8662032158339698,0.8486331265451806,0.7728514027026271,0.5972992906594183,0.8181016970841533
Water_Quality_Darwin/15T,long,vanilla_univariate,vanilla_univariate,7.163581086322665,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,210.0,0.0,8.627233667155702,1972.3585522914132,44.41124353462097,0.0,210.0,210.0,210.0,0.9885113809355461,4.592968839884914,2.143121284455202,0.0,210.0,210.0,210.0,1.246140515945102,7.074367481675776,2.6597683135333003,0.0,210.0,210.0,210.0,0.13233976789590426,0.07462887271284376,0.273182855817937,0.0,210.0,210.0,210.0,0.10980295500136371,0.03213644851840946,0.17926641770953494,0.0,210.0,210.0,210.0,1.4995830492022377,1.63422301421295,1.278367323664427,0.0,210.0,210.0,210.0,0.11187146308183972,0.03628916385092444,0.19049714919369382,0.0,210.0,210.0,210.0,0.11187146308183972,0.03628916385092444,0.19049714919369382,0.0,210.0,210.0,210.0,1.591229713377238,1.5257973604856987,0.942405132706774,0.8033832657330227,0.6454246716598564,1.0710616340906087
Water_Quality_Darwin/15T,long,top1-horizon-mix,top1-horizon-mix,,,,assembled_from_candidate_artifacts_no_independent_selected_method_latency,0.0,top1_horizon,0.32075471698113206,210.0,0.0,7.575390065234452,1435.0019702589882,37.881419855372215,0.0,210.0,210.0,210.0,0.9210754547005306,3.8177663819893946,1.9539105358202546,0.0,210.0,210.0,210.0,1.1698023351593516,6.206952561890181,2.491375636448703,0.0,210.0,210.0,210.0,0.12510796517305847,0.06462038200437717,0.2542053933424253,0.0,210.0,210.0,210.0,0.1016448590891846,0.029338466567528327,0.17128475287522918,0.0,210.0,210.0,210.0,1.414815839515976,1.1959284875649119,1.0935851533213643,0.0,210.0,210.0,210.0,0.10328867869640426,0.03231623025908564,0.17976715567390403,0.0,210.0,210.0,210.0,0.10328867869640426,0.03231623025908564,0.17976715567390403,0.0,210.0,210.0,210.0,1.591229713377238,1.5257973604856987,0.8891336226453189,0.6872578761744782,0.47232338836385446,0.7838055816168266
current_velocity/5T,short,vanilla_univariate,vanilla_univariate,0.7860732115805149,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,720.0,0.0,3.038420630255172,108.13578664275563,10.398835831128196,0.0,720.0,720.0,720.0,0.5638663843048584,1.8685705206924228,1.3669566637945854,0.0,720.0,720.0,720.0,0.6738370428042927,2.5843642699999374,1.6075958042990588,0.0,720.0,720.0,720.0,0.44970037044658634,0.9094160421406331,0.9536330752132254,0.0,720.0,720.0,720.0,0.3493648926026466,0.2576403487028669,0.5075828491023577,0.0,720.0,720.0,720.0,0.4309424108512903,0.09657239017524911,0.31076098560670246,0.0,720.0,720.0,720.0,0.30365889940214447,0.20715066500438217,0.4551380724619532,0.0,720.0,720.0,720.0,0.30365889940214447,0.20715066500438217,0.4551380724619532,0.0,720.0,720.0,720.0,0.9105016048084428,0.38424047675878115,0.47330219801419765,0.341307455105565,0.11649077891063724,0.2513332041170546
current_velocity/5T,short,top1-horizon-mix,top1-horizon-mix,,,,assembled_from_candidate_artifacts_no_independent_selected_method_latency,0.0,top1_horizon,0.1329639889196676,720.0,0.0,3.291085639154795,129.38235403686818,11.374636435370942,0.0,720.0,720.0,720.0,0.5883050231821577,2.0663672024544932,1.437486418180879,0.0,720.0,720.0,720.0,0.6984396571865601,2.8032676844239157,1.674296175837452,0.0,720.0,720.0,720.0,0.4540708864352957,0.7877240977207399,0.8875382232449146,0.0,720.0,720.0,720.0,0.35771781211236775,0.26507671906814795,0.5148560178031796,0.0,720.0,720.0,720.0,0.43776240271998385,0.0896735975044737,0.2994555017101434,0.0,720.0,720.0,720.0,0.31091850470197735,0.20636812722681594,0.45427758829466364,0.0,720.0,720.0,720.0,0.31091850470197735,0.20636812722681594,0.45427758829466364,0.0,720.0,720.0,720.0,0.9105016048084428,0.38424047675878115,0.48079256577706214,0.32889069072332366,0.10816908644446493,0.2333788419713238
current_velocity/5T,medium,vanilla_univariate,vanilla_univariate,3.075744090601802,0.0,0.0,measured_candidate_query_loop_precomputed_vanilla_fallback_separate_retrieval,0.0,,,90.0,0.0,5.510481150746615,174.15872781537638,13.196921149092935,0.0,90.0,90.0,90.0,0.8233448678261902,2.777232209465684,1.6665029881358402,0.0,90.0,90.0,90.0,1.0372535001039764,4.434586327268663,2.105845751062661,0.0,90.0,90.0,90.0,0.717391737056692,1.819144260981392,1.348756561052213,0.0,90.0,90.0,90.0,0.4182349540769833,0.2568655116361069,0.5068190127018785,0.0,90.0,90.0,90.0,0.732340623550814,0.1325137856389597,0.3640244300029322,0.0,90.0,90.0,90.0,0.3717323790065653,0.20744608914143758,0.45546250025818547,0.0,90.0,90.0,90.0,0.3717323790065653,0.20744608914143758,0.45546250025818547,0.0,90.0,90.0,90.0,0.9106922601897061,0.11522061713881367,0.804158172375661,0.3997227668621038,0.15977829034789578,1.1500874490136765
current_velocity/5T,medium,top1-horizon-mix,top1-horizon-mix,,,,assembled_from_candidate_artifacts_no_independent_selected_method_latency,0.0,top1_horizon,0.2608695652173913,90.0,0.0,5.794995273853281,191.06461950094365,13.822612614876526,0.0,90.0,90.0,90.0,0.86226282637614,3.137510502938154,1.7713019231452762,0.0,90.0,90.0,90.0,1.0563644851447864,4.679089348378071,2.1631202806081014,0.0,90.0,90.0,90.0,0.7419998289144962,1.875137702017951,1.3693566745073946,0.0,90.0,90.0,90.0,0.44487729248330116,0.2945600747343501,0.54273388942865,0.0,90.0,90.0,90.0,0.7209834546823211,0.09619050187258327,0.3101459364115275,0.0,90.0,90.0,90.0,0.39067352971610836,0.23071077471232446,0.4803236145686827,0.0,90.0,90.0,90.0,0.39067352971610836,0.23071077471232446,0.4803236145686827,0.0,90.0,90.0,90.0,0.9106922601897061,0.11522061713881367,0.791687253971098,0.3405606371870571,0.11598154760125436,0.8348375860259141
